GeneSymbol	MCF7_FDI-6_0h_r1	MCF7_FDI-6_0h_r2	MCF7_FDI-6_0h_r3	MCF7_FDI-6_3h_r1	MCF7_FDI-6_3h_r2	MCF7_FDI-6_3h_r3	random1	random2	random3	random4
A1BG	5.02920578618681	7.29284821621724	8.03868511088803	11.3190248384989	10.6240566559147	4.72570248437779	7.29284821621724	4.72570248437779	4.72570248437779	5.02920578618681
A4GALT	10.2409157335935	14.5014305012881	8.33992596240605	10.1060983184227	11.610323295241	10.294375134687	14.5014305012881	10.294375134687	10.294375134687	10.2409157335935
AAAS	26.1579355718998	30.0627008135386	33.7043122856112	26.7893457341437	30.1406990536409	28.6175282534741	30.0627008135386	28.6175282534741	28.6175282534741	26.1579355718998
AACS	23.236784860617	28.559359837443	26.9933782227934	25.1979000141312	29.6862930364673	26.9290468274077	28.559359837443	26.9290468274077	26.9290468274077	23.236784860617
AADAT	6.70259752081802	6.95053285353563	8.25637772343027	7.50359337755773	7.84315428893459	5.57023835271966	6.95053285353563	5.57023835271966	5.57023835271966	6.70259752081802
AAGAB	82.3667338801567	73.5581163073541	70.4358270544483	57.1846585119906	71.7514363228856	66.4556234042477	73.5581163073541	66.4556234042477	66.4556234042477	82.3667338801567
AAK1	15.306990754099	15.0469918964084	13.7928147765137	13.0293969286662	16.8905800380216	16.8680275025092	15.0469918964084	16.8680275025092	16.8680275025092	15.306990754099
AAMDC	23.7894246852267	30.4556976876682	39.0980504737435	25.8059636525364	29.4890892931612	22.8471100982065	30.4556976876682	22.8471100982065	22.8471100982065	23.7894246852267
AAMP	93.7051589534517	114.386249795005	121.132045524734	118.957077586403	111.71524091842	117.153053216653	114.386249795005	117.153053216653	117.153053216653	93.7051589534517
AANAT	0.116196462672928	0.339007607997348	0.116196462672928	0.179373119683994	0.392474116439594	0.245091878042402	0.339007607997348	0.245091878042402	0.245091878042402	0.116196462672928
AAR2	13.3847309620591	15.0334827741839	15.2526852830952	13.4080680038252	15.4088008434714	13.6740071369526	15.0334827741839	13.6740071369526	13.6740071369526	13.3847309620591
AARD	7.88952114418721	7.13142474650564	7.7959644134116	8.73974476965168	6.03028006360117	5.51219296009313	7.13142474650564	5.51219296009313	5.51219296009313	7.88952114418721
AARS2	5.7358137129964	6.61614020678951	6.51611500262134	4.67626084221689	4.92994315188557	4.36461160865934	6.61614020678951	4.36461160865934	4.36461160865934	5.7358137129964
AARSD1	10.8306428575193	11.9546694260637	10.4027218218036	14.8469695543534	11.7316272005591	12.6846881645606	11.9546694260637	12.6846881645606	12.6846881645606	10.8306428575193
AASDH	8.55275826895171	8.23648089884703	6.72674079814208	6.0160684645768	6.17615060609968	6.46339197996283	8.23648089884703	6.46339197996283	6.46339197996283	8.55275826895171
AASDHPPT	20.4472864722003	23.0623554011385	21.0616828917245	18.149536218153	21.4330667848192	20.2712740566325	23.0623554011385	20.2712740566325	20.2712740566325	20.4472864722003
AASS	0.140043124789365	0.474103005353572	0.920249738664778	0.561909047721525	0.215488258190025	1.03667377415256	0.474103005353572	1.03667377415256	1.03667377415256	0.140043124789365
AATF	31.8640829673507	29.3273444313968	28.1606786777574	31.5649605082735	32.4280907943945	31.7952149813933	29.3273444313968	31.7952149813933	31.7952149813933	31.8640829673507
AATK	0.881220010152438	1.35435922100688	1.06350997039492	1.11456251371063	1.05693503595933	1.28237711101435	1.35435922100688	1.28237711101435	1.28237711101435	0.881220010152438
ABAT	49.8741179564623	48.9699261128798	46.6365465563389	43.4910355545673	49.0052520826088	51.5253203482412	48.9699261128798	51.5253203482412	51.5253203482412	49.8741179564623
ABCA1	0.821812984048825	0.48610573562672	0.623456390545661	0.301657246953542	0.333899730772641	0.410893261752564	0.48610573562672	0.410893261752564	0.410893261752564	0.821812984048825
ABCA10	0.230020574748328	0.396985072662905	0.448236440958667	0.97970301300142	0.357891900631766	0.510158369547104	0.396985072662905	0.510158369547104	0.510158369547104	0.230020574748328
ABCA12	2.59093521382409	3.08657120526403	2.38298302886722	3.33247103982419	4.31258908357035	4.86763730783572	3.08657120526403	4.86763730783572	4.86763730783572	2.59093521382409
ABCA2	45.8417913315729	63.5619807143461	51.5001567722226	49.114197917163	44.0786931088499	42.5231123860417	63.5619807143461	42.5231123860417	42.5231123860417	45.8417913315729
ABCA3	20.7638776373524	21.8594497066649	19.2814154883995	14.0327065462733	13.9275953941682	16.1500988936134	21.8594497066649	16.1500988936134	16.1500988936134	20.7638776373524
ABCA4	0.0889929519468646	0.0830837324399898	0.032694833940331	0.032694833940331	0.281886222869236	0.107687988904956	0.0830837324399898	0.107687988904956	0.107687988904956	0.0889929519468646
ABCA5	12.1357700213169	13.2788508547217	14.800549347626	10.842383652247	16.3446771906754	13.0121770995507	13.2788508547217	13.0121770995507	13.0121770995507	12.1357700213169
ABCA6	0.251113869365362	0.219342163342779	0.219342163342779	0.414804584470414	0.64208179272623	0.348435454622132	0.219342163342779	0.348435454622132	0.348435454622132	0.251113869365362
ABCA7	2.29557887380435	6.57653924842198	3.26383737566283	4.2749006897482	2.5358960126131	2.86286074623284	6.57653924842198	2.86286074623284	2.86286074623284	2.29557887380435
ABCB10	7.64403328728391	5.65790249717446	8.14492540198336	7.75101384137053	6.92423917639784	7.89290744086076	5.65790249717446	7.89290744086076	7.89290744086076	7.64403328728391
ABCB4	0.635232919543733	0.51626024016072	0.266936557117006	0.181748997190806	0.37959138858966	0.236859075522619	0.51626024016072	0.236859075522619	0.236859075522619	0.635232919543733
